Stock Name,Current Price,Previous Close,Open,Bid,Ask,Day Range,52 WWeek Range,Volume,Avg Volume
Alphabet Inc. (GOOGL),"1,759.73","1,762.50","1,751.34","1,790.00 x 800","1,800.00 x 1200","1,736.68 - 1,768.49","1,008.87 - 1,791.82","1,431,084","1,834,903"
"Amazon.com, Inc. (AMZN)","3,311.37","3,322.00","3,304.64","3,385.00 x 1100",0.00 x 3000,"3,232.39 - 3,322.00","1,626.03 - 3,552.25","4,647,330","5,055,585"
